id,old_state,milestone,old_owner,first_pass_class,built_branch,branch_tip,verdict,target_module_or_reason,t5_note,headline
D-612,integrated,M2,CAPTURE,unclear,land/worker/D-612,f2dcbc6c,carry,odf-reader,built on land/worker/D-612 (f2dcbc6c): judge at extraction; referencedMembers lives in odf.mjs,"EVERY REAL GOOGLE DOC EXPORT EMBEDS `Fonts/fontN.ttf`, REFERENCED BY `svg:font-face-uri`, AND D-351's MEMBER RULE REFUSES THOSE REFERENCES, so the .odt digest reads UNDETERMINED on ALL 8 real Docs (M-167) and the monitor's false ""changed"" a"
D-578,integrated,M7,RECORD,product,land/worker/D-578,700a432d,carry,promotion,built on land/worker/D-578 (700a432d): judge at extraction; op=promote typeless-revision fix,"A PROMOTE REVISION WHOSE DOCUMENT AND ENVELOPE BOTH STATE NO TYPE LEAVES `promotedType` UNDEFINED, and the INSERT throws ""NOT NULL constraint failed: bundles.object_type"": the caller gets a raw error with a store.mjs stack instead of a name"
D-546,integrated,M7,RECORD,product,land/worker/D-546,b690552a,carry,promotion,built on land/worker/D-546 (b690552a): judge at extraction; op=promote state-edge fence widened,"`op=promote` ASKS NO STATE-EDGE TABLE EXCEPT FOR BIAS: D-468 fenced a bias set's moves against its STATES edges, and every other type with a head can still move along an edge its table does not declare. D-468's worker. BOB #34 RULED 2026-09"
D-627,integrated,M2,CONTENT-PDF,unclear,land/worker/D-627,056d3092,carry,pdf-reader,built on land/worker/D-627 (056d3092): judge at extraction; image_content_unread marker lives in pdfstructure.mjs,"A FULL-PAGE IMAGE WHOSE ONLY TEXT IS A FOLIO IS NOT ROUTED TO OCR SINCE D-608: the page bears text so it rightly carries no `no_text_layer`, but its CONTENT is unread and nothing says so (INFO-2026-0301 pages 633, 634, 645-651: a coverage r"
D-616,integrated,M2,CONTENT-PDF,product,land/worker/D-616,849c1a09,carry,pdf-reader,built on land/worker/D-616 (849c1a09): judge at extraction; tier3Extend/needsTier3 live in pdfstructure.mjs,"PAGES PAST THE PER-REQUEST OCR BUDGET ARE NEVER READ ON A LATER REQUEST: D-606 caps each acquire at 24 member invocations (M-175), and the re-read (op=pdfstructure&ocr=1) starts from tier-1 text, so it asks for the SAME first pages again; a"
D-623,integrated,M8,RECORD,product,land/worker/D-623,1c701e33,carry,progressions,built on land/worker/D-623 (1c701e33): judge at extraction; proposeDispose refuses NO_SUCH_PROGRESSION so it is a progressions op,"`op=proposedispose` MINTS NO_PROJECT_SCOPE AT TWO SITES (store.mjs proposeDispose: the scoped-without-project refusal and the IC-60 key bridge) WITH NO DEC-49 CODE OR TRANSLATION, so a member meets the plane's raw detail and UI-110's clause"
D-575,integrated,M4,RECORD,product,land/worker/D-575,617fd5ef,carry,connections,built on land/worker/D-575 (617fd5ef): judge at extraction; pairSelection sentence fix,"A CONNECTION'S PAIR SAYS ""which nobody has chosen"" WHILE A MEMBER'S CHOICE STANDS, AND NEVER STATES A LAPSE: `Store#pairSelection`'s `says` ends that way on every row on `op=connections&id=`/`&sha256=`, including one carrying a current `on_"
UI-112,integrated,M4,UI,product,land/worker/UI-112,bfd57de2,drop,UI-only chooser; plane support in D-454,built bfd57de2 but is civicos-ui only; UI is a placeholder per ruling 4 not a tranche,UI-91's ON-POINT CHOICE WILL BE REFUSED FOR A MENTION READ ON SEVERAL PAGES ONCE D-454 LANDS: D-454 makes `op=connectionchoose` take `occurrence=` and refuse C-74.4 CONNECTION_CHOICE_OCCURRENCE_UNNAMED when a string read at several places i
REC-215,integrated,M7,RECORD,unclear,land/worker/REC-215,788649dc,carry,actions,built on land/worker/REC-215 (788649dc): judge at extraction; new actionriskpropose non-act op (uncertain vs progressions),"NO MACHINE PROPOSAL OF A RISK TIER EXISTS, LABELLED AND APART FROM THE MEMBER'S VALUE. BOB #33's risk-tier ruling (21:18Z; recorded in the inbox entry of 21:55Z), item 3: `actionriskpropose` (not yet an op), REC-195's shape. — owner RECORD."
M0-197,integrated,M0,M0,machinery,land/worker/M0-197,11818309,drop,old gate instrument (tools/anchordrift.mjs); not product,process negative-control drift check across gates profiles; retired old-process bookkeeping,"NO INSTRUMENT SEES A NEGATIVE-CONTROL ARM WHOSE PATCH ANCHOR HAS DRIFTED: four in one hour (D-535's statepaths arm b, D-600's nc-cap12 dropslides, D-601's default-discoverable, D-235's suggest.control arms) had not armed for days, each foun"
